ID,Name,Longitude,Latitude
11239,Fairlodge,103.80166,1.31153
11259,Opp Blk 21,103.79274,1.3112
11261,Holland Village,103.79445,1.31223
11269,Opp Holland Village,103.79454,1.31256
11271,Aft East Sussex Lane,103.79008,1.31473
11279,Aft Coronation Rd West,103.79069,1.31467
11281,Aft Tan Boon Chong Ave,103.78852,1.31623
11289,Opp Tan Boon Chong Ave,103.78904,1.31619
11291,Cold Storage Jelita,103.78592,1.31793
11299,Opp Cold Storage Jelita,103.78559,1.31827
11301,Hse No. 578,103.7879,1.31804
11309,Hse No. 589,103.78843,1.31862
11311,Hse No. 532,103.78919,1.3199
11319,Opp Hse No. 516,103.7896,1.32031
11321,Opp Regent Villa,103.7901,1.32123
11329,Regent Villa,103.79098,1.32236
11331,Opp Dynasty Gdn II,103.79145,1.32321
11339,Dynasty Lodge,103.79205,1.32399
11341,Garlick Ville,103.79283,1.32552
11349,Opp Garlick Ville,103.79307,1.32567
11351,Blk 13,103.78945,1.30935
11359,Opp Blk 13,103.78969,1.30931
11361,Buona Vista Stn Exit C,103.79058,1.3065
11369,Buona Vista Stn Exit D,103.79085,1.30633
11379,Buona Vista Ter,103.79236,1.30917
11381,Blk 10A,103.79328,1.30841
11389,Blk 46,103.79293,1.30907
11401,Holland V Stn/Blk12,103.79507,1.30907
11409,Blk 9,103.79433,1.30764
11419,Holland V Stn Exit A,103.79604,1.31103
11429,Opp Blk 115B,103.79836,1.30454
11439,Blk 92,103.8003,1.30606
11441,Blk 58,103.79754,1.2978
11449,Blk 37B,103.7976,1.29841
11451,Blk 72,103.79707,1.30035
11459,Blk 50,103.79685,1.30097
11469,Queensway Sec Sch,103.80189,1.30114
11471,Opp The Fisherman Ch,103.80315,1.29952
11481,Queenstown Lib,103.80601,1.29812
11489,Blk 30,103.8044,1.29882
11491,Opp Queenstown Pr Sch,103.80764,1.2971
11499,Queenstown Pr Sch,103.80789,1.29685
11511,Alexandra Hosp,103.80252,1.28595
11519,Opp Queensway Shop Ctr,103.80334,1.28666
11521,Anchorpoint,103.80543,1.28857
11529,Bef IKEA Ind Bldg,103.80609,1.28903
11531,Opp Lea Hin Hardware Fty,103.80753,1.29109
11539,Lea Hin Hardware Fty,103.80786,1.29117
11541,Opp Queens,103.80579,1.29236
11551,Tiong Ghee Tp,103.8041,1.29127
11561,Blk 166,103.80248,1.29107
11579,Blk 158,103.80303,1.29256
11589,Blk 157,103.80401,1.29299
11599,Blk 153,103.80315,1.29421
11609,Blk 163,103.80212,1.29189
12021,Bef Moonbeam Wk,103.78243,1.31908
12029,Opp Moonbeam Wk,103.78244,1.31958
12031,Pandan Valley Condo,103.77963,1.3208
12039,Opp Pandan Valley Condo,103.78019,1.32105
12041,Aft Pandan Valley,103.77653,1.32049
12049,Opp Pandan Valley,103.77656,1.32091
12051,Pine Gr Condo,103.77506,1.32043
12059,Opp Pine Gr Condo,103.77516,1.32073
12061,Blk 109,103.77087,1.32179
12069,Opp Blk 109A,103.77104,1.32143
12071,Blk 116,103.77219,1.32402
12079,Opp Blk 116,103.77263,1.32383
12081,Maju Camp,103.77543,1.32647
12089,Opp Maju Camp,103.77571,1.32626
12091,SIM HQ,103.77715,1.32918
12099,Opp SIM HQ,103.7767,1.32784
12101,Ngee Ann Poly,103.77769,1.33244
12109,Opp Ngee Ann Poly,103.77801,1.33082
12111,Bef Clementi Rd,103.77223,1.31912
12119,Police KINS Trg Camp,103.77279,1.31965
12121,Blk 7,103.78715,1.31165
12129,Blk 3,103.78733,1.31182
12131,Aft Grove Ave,103.78506,1.31416
12139,Aft Mt Sinai Lane,103.78504,1.31453
12141,Opp Henry Pk,103.78239,1.31574
12149,Henry Pk,103.78266,1.31577
12151,Bef Moonbeam Terr,103.78128,1.31865
12169,Pandan Valley,103.77724,1.31917
12179,Montview,103.77699,1.3168
12189,Bef Mt Sinai Dr,103.78022,1.31643
12199,Opp Village Twr,103.77821,1.31548
12201,Logishub @ Clementi,103.764,1.32671
12209,Opp Logishub @ Clementi,103.7643,1.32653
12211,Bef Mt Sinai Wk,103.78071,1.31721
13011,Opp S'pore Botanic Gdns,103.81932,1.3065
13019,S'pore Botanic Gdns,103.82013,1.30674
13021,Aft Min Of Foreign Affairs,103.81431,1.30634
13029,Bef Tyersall Ave,103.81452,1.30672
13031,Opp Chatsworth Rd,103.81707,1.29913
13039,Bef Chatsworth Rd,103.81744,1.29982
13041,Aft Camp Rd,103.81968,1.30243
13049,Bef Rochalie Dr,103.82045,1.30262
13051,Opp Valley Pt,103.82637,1.29334
13059,Valley Pt,103.82663,1.29328
13062,Stellar RV,103.82853,1.29477
13063,RV Suites,103.82964,1.29535
13069,RV Residences,103.82881,1.29488
13071,Riva Lodge,103.83225,1.29636
13079,The Cosmopolitan,103.83229,1.29612
13081,St. Thomas Wk,103.83624,1.29591
13089,Opp St. Thomas Wk,103.83604,1.29575
13091,Aft Kim Yam Rd,103.83938,1.29593
13099,Bef Kim Yam Rd,103.83961,1.29578
13101,Opp Mohd Sultan Rd,103.84231,1.29414
13109,UE Sq/Bef Mohd Sultan Rd,103.84272,1.29351
13119,Opp Great World City,103.83284,1.29363
13121,Opp Great World City,103.83084,1.29409
13139,The Trillium,103.83206,1.29504
13141,Aft Zion Full Gospel Ch,103.82998,1.29764
13159,Bef Zion Full Gospel Ch,103.83053,1.29796
13169,Grange 80 Condo,103.82839,1.2991
13171,Gramercy Pk,103.82651,1.29907
13179,Cliveden At Grange,103.82665,1.29926
13181,Aft One Tree Hill,103.82403,1.30023
13189,Bef One Tree Hill,103.82415,1.30038
13191,Bef Orchard Blvd,103.82978,1.30246
13199,Aft Orchard Blvd,103.82988,1.30213
13201,British High Commission,103.8221,1.30454
13209,Opp British High Comsn,103.82206,1.30403
14009,HarbourFront Int,103.81901,1.26704
